汉字,阶段,单元,课题,例词,读音提示
怪,7,C139,故事里的样子,奇怪,
见,7,C140,好好说再见,见面,
离,7,C140,好好说再见,离开,
拥,7,C140,好好说再见,拥抱,
迎,7,C140,好好说再见,欢迎,
舍,7,C140,好好说再见,舍不得,舍不得：shě
要,8,C141,说说我的愿望,想要,
愿,8,C141,说说我的愿望,愿意,
望,8,C141,说说我的愿望,愿望,
梦,8,C141,说说我的愿望,梦想,
盼,8,C141,说说我的愿望,盼望,
还,8,C142,把话说完整,还有,还有：hái；归还：huán
就,8,C142,把话说完整,就是,
都,8,C142,把话说完整,都是,都是：dōu；首都：dū
很,8,C142,把话说完整,很好,
最,8,C142,把话说完整,最好,
把,8,C143,把一件事讲清楚,把水倒好,
得,8,C143,把一件事讲清楚,做得好,做得好：de
地,8,C143,把一件事讲清楚,轻轻地,轻轻地：de；地上：dì
已,8,C143,把一件事讲清楚,已经,
并,8,C143,把一件事讲清楚,并且,
吗,8,C144,先问一句,好吗,
呢,8,C144,先问一句,谁呢,
吧,8,C144,先问一句,来吧,
呀,8,C144,先问一句,好呀,
啊,8,C144,先问一句,啊哈,
但,8,C145,转个弯把话说完,但是,
而,8,C145,转个弯把话说完,而且,
却,8,C145,转个弯把话说完,却没有,
虽,8,C145,转个弯把话说完,虽然,
又,8,C145,转个弯把话说完,又来,
或,8,C146,如果这样会怎样,或者,
如,8,C146,如果这样会怎样,如果,
若,8,C146,如果这样会怎样,假若,
即,8,C146,如果这样会怎样,立即,
使,8,C146,如果这样会怎样,即使,
选,8,C147,我来做选择,选择,
决,8,C147,我来做选择,决定,
定,8,C147,我来做选择,一定,
择,8,C147,我来做选择,选择,
意,8,C147,我来做选择,同意,
觉,8,C148,分清感觉和判断,觉得,觉得：jué；睡觉：jiào 作为词语陪读
感,8,C148,分清感觉和判断,感觉,
判,8,C148,分清感觉和判断,判断,
断,8,C148,分清感觉和判断,判断,
应,8,C148,分清感觉和判断,应该,应该：yīng；回应：yìng
耐,8,C149,专心听完再回应,耐心,
专,8,C149,专心听完再回应,专心,
注,8,C149,专心听完再回应,注意,
仔,8,C149,专心听完再回应,仔细,仔细：zǐ
细,8,C149,专心听完再回应,细心,
特,8,C150,每个人都有特点,特点,
征,8,C150,每个人都有特点,特征,
性,8,C150,每个人都有特点,性格,
格,8,C150,每个人都有特点,性格,
趣,8,C150,每个人都有特点,兴趣,
情,8,C151,认识我的情绪,心情,
绪,8,C151,认识我的情绪,情绪,
兴,8,C151,认识我的情绪,高兴,高兴／兴奋：xìng／xīng
奋,8,C151,认识我的情绪,兴奋,
静,8,C151,认识我的情绪,安静,
争,8,C152,和朋友有分歧,争论,
吵,8,C152,和朋友有分歧,争吵,
解,8,C152,和朋友有分歧,解决,
劝,8,C152,和朋友有分歧,劝说,
谅,8,C152,和朋友有分歧,原谅,
需,8,C153,说清楚需要什么,需要,
助,8,C153,说清楚需要什么,帮助,
求,8,C153,说清楚需要什么,请求,
联,8,C153,说清楚需要什么,联系,
络,8,C153,说清楚需要什么,联络,
肩,8,C154,我的身体有边界,肩膀,
体,8,C154,我的身体有边界,身体,
碰,8,C154,我的身体有边界,碰到,
摸,8,C154,我的身体有边界,摸摸,
抱,8,C154,我的身体有边界,拥抱,
秘,8,C155,保护个人信息,秘密,
密,8,C155,保护个人信息,密码,
私,8,C155,保护个人信息,私人,
隐,8,C155,保护个人信息,隐私,
锁,8,C155,保护个人信息,门锁,
拒,8,C156,不同意也能做朋友,拒绝,
绝,8,C156,不同意也能做朋友,绝不,
尊,8,C156,不同意也能做朋友,尊重,
容,8,C156,不同意也能做朋友,包容,
允,8,C156,不同意也能做朋友,允许,
约,8,C157,一起约定规则,约定,
遵,8,C157,一起约定规则,遵守,
律,8,C157,一起约定规则,纪律,
诺,8,C157,一起约定规则,承诺,
责,8,C157,一起约定规则,责任,
公,8,C158,公共地方轻声说话,公共,
众,8,C158,公共地方轻声说话,众人,
勿,8,C158,公共地方轻声说话,请勿,
喧,8,C158,公共地方轻声说话,喧哗,
哗,8,C158,公共地方轻声说话,喧哗,
始,8,C159,做事有始有终,开始,
终,8,C159,做事有始有终,始终,
完,8,C159,做事有始有终,完成,
成,8,C159,做事有始有终,成功,
功,8,C159,做事有始有终,成功,
慢,8,C160,给自己一点时间,慢慢,
反,8,C160,给自己一点时间,反复,
复,8,C160,给自己一点时间,重复,
练,8,C160,给自己一点时间,练习,
习,8,C160,给自己一点时间,学习,
页,9,C161,认识一本书,书页,
封,9,C161,认识一本书,封面,
订,9,C161,认识一本书,装订,
录,9,C161,认识一本书,目录,
册,9,C161,认识一本书,画册,
题,9,C162,书上的小标记,题目,
签,9,C162,书上的小标记,书签,
版,9,C162,书上的小标记,版本,
印,9,C162,书上的小标记,印刷,
者,9,C162,书上的小标记,作者,
文,9,C163,跟着文字读,文字,
句,9,C163,跟着文字读,句子,
段,9,C163,跟着文字读,段落,
章,9,C163,跟着文字读,章节,
篇,9,C163,跟着文字读,一篇,
逗,9,C164,读懂标点,逗号,
顿,9,C164,读懂标点,停顿,
冒,9,C164,读懂标点,冒号,
叹,9,C164,读懂标点,感叹,
括,9,C164,读懂标点,括号,
续,9,C165,接着讲故事,续写,
继,9,C165,接着讲故事,继续,
经,9,C165,接着讲故事,经过,
随,9,C165,接着讲故事,跟随,
往,9,C165,接着讲故事,往前,
色,9,C166,故事发生在哪里,角色,
景,9,C166,故事发生在哪里,场景,
处,9,C166,故事发生在哪里,到处,
背,9,C166,故事发生在哪里,背后,背后：bèi
境,9,C166,故事发生在哪里,环境,
做,9,C167,追着故事往前走,做事,
遇,9,C167,追着故事往前走,遇见,
赶,9,C167,追着故事往前走,赶来,
奔,9,C167,追着故事往前走,奔跑,奔跑：bēn
沿,9,C167,追着故事往前走,沿着,
索,9,C168,从图里找线索,线索,
踪,9,C168,从图里找线索,踪迹,
迹,9,C168,从图里找线索,足迹,
探,9,C168,从图里找线索,探索,
查,9,C168,从图里找线索,查看,
误,9,C169,把误会说清楚,误会,
骗,9,C169,把误会说清楚,骗人,
弄,9,C169,把误会说清楚,弄明白,
清,9,C169,把误会说清楚,清楚,
楚,9,C169,把误会说清楚,清楚,
猜,9,C170,猜猜后面会怎样,猜想,
可,9,C170,猜猜后面会怎样,可以,
将,9,C170,猜猜后面会怎样,将来,将来：jiāng
未,9,C170,猜猜后面会怎样,未来,
预,9,C170,猜猜后面会怎样,预想,
怎,9,C171,说说你怎么知道,怎么,
知,9,C171,说说你怎么知道,知道,
晓,9,C171,说说你怎么知道,知晓,
识,9,C171,说说你怎么知道,认识,
据,9,C171,说说你怎么知道,依据,
闻,9,C172,读通知听消息,新闻,
讯,9,C172,读通知听消息,通讯,
息,9,C172,读通知听消息,消息,
报,9,C172,读通知听消息,报告,
传,9,C172,读通知听消息,传话,传话：chuán；传统：chuán
活,9,C173,计划一次活动,活动,
动,9,C173,计划一次活动,动作,
计,9,C173,计划一次活动,计划,
划,9,C173,计划一次活动,计划,计划：huà
程,9,C173,计划一次活动,过程,
范,9,C174,看懂做事的说明,示范,
操,9,C174,看懂做事的说明,操作,
骤,9,C174,看懂做事的说明,步骤,
按,9,C174,看懂做事的说明,按照,
照,9,C174,看懂做事的说明,照着做,
单,9,C175,读懂一张清单,清单,
项,9,C175,读懂一张清单,项目,
类,9,C175,读懂一张清单,分类,
列,9,C175,读懂一张清单,列表,
份,9,C175,读懂一张清单,一份,
偏,9,C176,汉字可以拆一拆,偏旁,
部,9,C176,汉字可以拆一拆,部首,
构,9,C176,汉字可以拆一拆,结构,
组,9,C176,汉字可以拆一拆,组合,
符,9,C176,汉字可以拆一拆,符号,
词,9,C177,给词语找朋友,词语,
语,9,C177,给词语找朋友,语言,
配,9,C177,给词语找朋友,搭配,
连,9,C177,给词语找朋友,连接,
搭,9,C177,给词语找朋友,搭配,
替,9,C178,换一种说法,代替,
另,9,C178,换一种说法,另外,
更,9,C178,换一种说法,更好,更好：gèng
代,9,C178,换一种说法,代替,
较,9,C178,换一种说法,比较,
丽,9,C179,看见自然的美,美丽,
秀,9,C179,看见自然的美,秀美,
翠,9,C179,看见自然的美,翠绿,
鲜,9,C179,看见自然的美,鲜花,
艳,9,C179,看见自然的美,鲜艳,
述,9,C180,读完说说感受,讲述,
评,9,C180,读完说说感受,评价,
享,9,C180,读完说说感受,分享,
夸,9,C180,读完说说感受,夸奖,
赞,9,C180,读完说说感受,赞美,
级,10,C181,准备开学啦,年级,
准,10,C181,准备开学啦,准备,
备,10,C181,准备开学啦,备好,
须,10,C181,准备开学啦,必须,
检,10,C181,准备开学啦,检查,
具,10,C182,整理学习用品,文具,
橡,10,C182,整理学习用品,橡皮,
皮,10,C182,整理学习用品,橡皮,
铅,10,C182,整理学习用品,铅笔,
胶,10,C182,整理学习用品,胶水,
板,10,C183,教室里看一看,黑板,
墨,10,C183,教室里看一看,墨水,
台,10,C183,教室里看一看,讲台,
屏,10,C183,教室里看一看,屏幕,
壁,10,C183,教室里看一看,墙壁,
惜,10,C184,爱惜借来的书,珍惜,
珍,10,C184,爱惜借来的书,珍惜,
损,10,C184,爱惜借来的书,损坏,
毁,10,C184,爱惜借来的书,毁坏,
借,10,C184,爱惜借来的书,借书,
举,10,C185,有问题大胆说,举手,
提,10,C185,有问题大胆说,提问,
言,10,C185,有问题大胆说,发言,
顾,10,C185,有问题大胆说,回顾,
虑,10,C185,有问题大胆说,考虑,
值,10,C186,一起值日,值日,
劳,10,C186,一起值日,劳动,
汗,10,C186,一起值日,汗水,
勤,10,C186,一起值日,勤劳,
务,10,C186,一起值日,任务,
任,10,C187,我来负责一件事,任务,
负,10,C187,我来负责一件事,负责,
担,10,C187,我来负责一件事,承担,
管,10,C187,我来负责一件事,管理,
独,10,C187,我来负责一件事,独立,
健,10,C188,健康的生活,健康,
康,10,C188,健康的生活,安康,
锻,10,C188,健康的生活,锻炼,
炼,10,C188,健康的生活,锻炼,
呼,10,C188,健康的生活,呼吸,
运,10,C189,运动前后,运动,
休,10,C189,运动前后,休息,
伸,10,C189,运动前后,伸展,
腿,10,C189,运动前后,小腿,
臂,10,C189,运动前后,手臂,
记,10,C190,记录我的发现,记录,
现,10,C190,记录我的发现,发现,
忆,10,C190,记录我的发现,回忆,
证,10,C190,记录我的发现,证据,
确,10,C190,记录我的发现,确认,
介,10,C191,礼貌地介绍自己,介绍,
绍,10,C191,礼貌地介绍自己,介绍,
姓,10,C191,礼貌地介绍自己,姓名,
龄,10,C191,礼貌地介绍自己,年龄,
李,10,C191,礼貌地介绍自己,姓李,
庆,10,C192,庆祝快乐的节日,庆祝,
祝,10,C192,庆祝快乐的节日,祝福,
福,10,C192,庆祝快乐的节日,幸福,
贺,10,C192,庆祝快乐的节日,祝贺,
幸,10,C192,庆祝快乐的节日,幸福,
旗,10,C193,看看中国地图,国旗,
京,10,C193,看看中国地图,北京,
华,10,C193,看看中国地图,中华,
祖,10,C193,看看中国地图,祖国,
民,10,C193,看看中国地图,人民,
统,10,C194,端午看龙舟,传统,
龙,10,C194,端午看龙舟,小龙,
舟,10,C194,端午看龙舟,龙舟,
端,10,C194,端午看龙舟,端午,
粽,10,C194,端午看龙舟,粽子,
工,10,C195,珍惜身边的劳动,工人,
匠,10,C195,珍惜身边的劳动,工匠,
产,10,C195,珍惜身边的劳动,产品,
建,10,C195,珍惜身边的劳动,建设,
造,10,C195,珍惜身边的劳动,制造,
科,10,C196,生活里的科技,科学,
技,10,C196,生活里的科技,技术,
术,10,C196,生活里的科技,美术,
网,10,C196,生活里的科技,网络,
键,10,C196,生活里的科技,键盘,
环,10,C197,保护共同的家园,环境,
垃,10,C197,保护共同的家园,垃圾,
圾,10,C197,保护共同的家园,垃圾,
污,10,C197,保护共同的家园,污染,
染,10,C197,保护共同的家园,污染,
族,10,C198,看看更大的世界,民族,
世,10,C198,看看更大的世界,世界,
界,10,C198,看看更大的世界,世界,
洋,10,C198,看看更大的世界,海洋,
洲,10,C198,看看更大的世界,亚洲,
立,10,C199,尝试独立阅读,站立,
阅,10,C199,尝试独立阅读,阅读,
懂,10,C199,尝试独立阅读,读懂,
汉,10,C199,尝试独立阅读,汉字,
典,10,C199,尝试独立阅读,字典,
展,10,C200,我的成长小书,展示,
获,10,C200,我的成长小书,收获,
奖,10,C200,我的成长小书,奖章,
留,10,C200,我的成长小书,保留,
念,10,C200,我的成长小书,纪念,
